Order Occ,Line ,Station,Station Dlatitude ,Dlongitude ,Est Depth
1,93.3,26.7,32.95637,117.30538,63
2,93.4,26.4,32.94905,117.27357,20
3,91.7,26.4,33.2435,117.46542,20
4,93.3,28,32.91304,117.39438,609
5,93.3,30,32.84637,117.53122,846
6,93.3,35,32.67971,117.87286,616
7,93.3,40,32.51304,118.21386,1627
8,93.3,45,32.34637,118.55423,1376
9,93.3,50,32.17971,118.89396,1452
10,93.3,55,32.01304,119.23306,1588
11,93.3,60,31.84637,119.57154,1899
12,93.3,70,31.51304,120.24666,3931
13,93.3,80,31.17971,120.91935,3848
14,93.3,90,30.84637,121.58965,4109
15,93.3,100,30.51304,122.2576,4132
16,93.3,110,30.17971,122.92324,3868
17,93.3,120,29.84637,123.58661,4061
18,90,120,30.41795,123.99893,4141
19,90,110,30.75128,123.33164,4017
20,90,100,31.08462,122.66202,3997
21,90,90,31.41795,121.99001,3879
22,90,80,31.75128,121.31559,3694
23,90,70,32.08462,120.63872,3806
24,90,60,32.41795,119.95935,880
25,90,53,32.65128,119.48228,1309
26,90,45,32.91795,118.93551,1695
27,90,37,33.18462,118.38708,1177
28,90,35,33.25128,118.24971,344
29,90,30,33.41795,117.90582,613
30,90,28,33.48462,117.76808,63
31,90,27.7,33.49462,117.74741,20
32,88.5,30.1,33.67442,118.08369,20
33,86.8,32.5,33.88887,118.44423,20
34,86.7,33,33.88953,118.49033,57
35,86.7,35,33.82286,118.62873,662
36,85.4,35.8,34.02136,118.83413,20
37,86.7,40,33.65619,118.97425,737
38,86.7,45,33.48953,119.3191,1644
39,86.7,50,33.32286,119.66327,78
40,86.7,55,33.15619,120.00678,1201
41,86.7,60,32.98953,120.34964,722
42,86.7,70,32.65619,121.03339,3771
43,86.7,80,32.32286,121.71457,4041
44,86.7,90,31.98953,122.39323,4099
45,86.7,100,31.65619,123.0694,4147
46,86.7,110,31.32286,123.74313,3951
47,83.3,110,31.91176,124.1704,4163
48,83.3,100,32.24509,123.49232,4145
49,83.3,90,32.57842,122.81173,4247
50,83.3,80,32.91176,122.12858,4180
51,83.3,70,33.24509,121.44283,3797
52,83.3,60,33.57842,120.75443,1397
53,83.3,55,33.74509,120.40923,999
54,83.3,51,33.87842,120.13258,102
55,83.3,42,34.17842,119.50851,134
56,83.3,40.6,34.22509,119.41124,34
57,83.3,39.4,34.26509,119.32781,20
58,81.7,43.5,34.40555,119.80037,20
59,81.8,46.9,34.2749,120.02524,578
60,80,50.5,34.46667,120.48906,20
61,80,51,34.45,120.5239,73
62,80,55,34.31667,120.80245,780
63,80,60,34.15,121.15,2204
64,80,70,33.81667,121.84304,3631
65,80,80,33.48333,122.53335,4007
66,80,90,33.15,123.22099,4229
67,80,100,32.81667,123.90599,4348
68,76.7,100,33.38824,124.32289,4551
69,76.7,90,33.72158,123.63335,4201
70,76.7,80,34.05491,122.94109,4235
71,76.7,70,34.38824,122.24608,4017
72,76.7,60,34.72158,121.54828,930
73,76.7,55,34.88824,121.19831,562
74,76.7,51,35.02158,120.91782,240
75,76.7,49,35.08824,120.7774,69
76,73.3,50,35.64381,121.25575,30
77,73.3,55,35.47714,121.60901,1003
78,73.3,60,35.31047,121.96154,2380
79,73.3,70,34.97714,122.6644,4072
80,73.3,80,34.64381,123.36439,4164
81,73.3,90,34.31047,124.06154,3186
82,73.3,100,33.97714,124.7559,
83,70,100,34.54872,125.17964,
84,70,90,34.88205,124.48047,
85,70,80,35.21538,123.77843,4078
86,70,70,35.54872,123.07348,3845
87,70,60,35.88205,122.36556,3071
88,70,55,36.04872,122.01048,1304
89,70,51,36.18205,121.72586,
90,66.7,50,36.78696,122.05633,1006
91,66.7,55,36.62029,122.41482,2613
92,66.7,60,36.45363,122.77254,2954
93,66.7,65,36.28696,123.12948,3273
94,66.7,70,36.12029,123.48565,3581
95,66.7,75,35.95363,123.84106,3885
96,66.7,80,35.78696,124.19571,3964
97,66.7,85,35.62029,124.54962,
98,66.7,90,35.45363,124.90278,
99,66.7,95,35.28696,125.2552,
100,66.7,100,35.12029,125.60689,
101,63.3,100,35.70919,126.05088,
102,63.3,90,36.04252,125.34152,
103,63.3,80,36.37586,124.62912,4153
104,63.3,70,36.70919,123.91364,3890
105,63.3,60,37.04252,123.19502,2566
106,63.3,55,37.20919,122.83452,301
107,63.3,52,37.30919,122.61783,89
108,60,53,37.84743,123.09942,87
109,60,60,37.6141,123.60825,3298
110,60,70,37.28077,124.33237,3999
111,60,80,36.94743,125.05327,
112,60,90,36.6141,125.77099,
113,60,100,36.28077,126.48559,
